run_id,model,source_type,instruction,response,text
9066981d-gemini-2.5-pro-Wiki-11,gemini-2.5-pro,Wiki,"Bunaithe ar an téacs a chuirtear ar fáil, déan cur síos ar an diúracán Vergeltungswaffe-2.","Ba dhiúracán balaistíoch treoraithe é an Vergeltungswaffe-2 a shaothraigh arm na Gearmáine faoi stiúir Wernher von Braun i 1937. Thaistil sé go han-tapa, rud a d'fhág nárbh fhéidir é a stopadh le heitleáin ná le gunnaí. In ainneoin seo, bhí sé an-neamhchruinn. Idir 1944 agus 1945, thit 1054 díobh ar an mBreatain Mhór.","Vergeltungswaffe-2

Diúracán balaistíoch treoraithe a shaothraigh arm na Gearmáine faoi stiúir Wernher von Braun (saineolaí roicéad) i 1937. Thaistil sé go han-tapa ionas nárbh fhéidir teacht roimhe le heitleán ná lámhach gunnaí. Níorbh fhéidir é a stopadh, ach bhí sé an-neamhchruinn. I 1944-1945 thit 1054 díobh ar an mBreatain Mhór."
1cd219cc-gemini-2.5-pro-Wiki-12,gemini-2.5-pro,Wiki,"Bunaithe ar an téacs, déan cur síos ar an iasc pluaise a fhaightear in oirdheisceart na Stát Aontaithe.","Is iasc beag dall é a fhaightear i bpluaiseanna aolchloiche in oirdheisceart na Stát Aontaithe, agus níl aon lí sa cholainn aige.","Iasc pluaise

Iasc beag dall a fhaightear i bpluaiseanna aolchloiche in oirdheisceart na Stát Aontaithe. Gan aon lí sa cholainn aige. Dhá speiceas eile, le súile beaga is craiceann daite, a fhaightear i gcorcacha cois cósta ansin."
b8daeb06-gemini-2.5-pro-Wiki-13,gemini-2.5-pro,Wiki,"Cé a tháinig i gcomharbacht ar John Galvin sa Dáil tar éis a bháis, agus cén uair a tharla sé?","Tar éis bhás John Galvin sa bhliain 1963, tháinig a bhaintreach, Sheila Galvin, i gcomharbacht air. Bhuaigh sí an suíochán i bhfothoghchán i mí Feabhra, 1964.","John Galvin

Polaiteoir Éireannach ab ea John Galvin (15 Bealtaine 1907 – 11 Deireadh Fómhair 1963). Bhí sé ina bhall d'Fhianna Fáil.
Toghadh don Dáil é do Chorcaigh i bhfothoghgchán i mí Lúnasa, 1956 ag glacadh suíochán Patrick McGrath, ball de chuid Fianna Fáil freisin. Atoghadh é i dtoghcháin ghinearálta na mblianta 1957 agus 1961. Fuair sé bás sa bhliain 1963 agus é in oifig. Coimeádadh an suíochán ar oscailt go dtí fothoghchán i mí Feabhra, 1964 ina bhfuair a bhaintreach, Sheila Galvin, an suíochán."
1f2c1929-gemini-2.5-pro-Wiki-14,gemini-2.5-pro,Wiki,"Cathain a fuair an gearrscannán ""The Longest Daycare"" a chéad taibhiú?","Fuair an scannán ""The Longest Daycare"" a chéad taibhiú ar an 13 Iúil 2012.","The Longest Daycare

Is é ""Maggie Simpson in ""The Longest Daycare"", nó The Longest Daycare go díreach gearrscannán 2012 atá bunaithe ar ""The Simpsons"". Fuair an scannán a chéad taibhiú ar an 13 Iúil 2012, nuair a bhí sé ceangailte le """"."
e7e8a560-gemini-2.5-pro-Wiki-15,gemini-2.5-pro,Wiki,Cén pláinéad a d'fhionn an réalteolaí Johann Gottfried Galle sa bhliain 1846?,"Sa bhliain 1846, agus é ag obair i Réadlann Bheirlín, d'fhionn Johann Gottfried Galle an pláinéad Neiptiún.","Johann Gottfried Galle

Réalteolaí a saolaíodh i bPabsthaus na Gearmáine ab ea Johann Gottfried Galle (9 Meitheamh 1812 - 10 Iúil 1910). I 1846 agus é ag obair i Réadlann Bheirlín, d'fhionn sé an pláinéad Neiptiún."
ad34b96f-gemini-2.5-pro-Wiki-16,gemini-2.5-pro,Wiki,"Bunaithe ar an sliocht a thugtar, cén fáth ar bhuaigh Avram Hershko Duais Nobel na Ceimice agus cé leis ar roinn sé í?",Bhuaigh Avram Hershko Duais Nobel na Ceimice mar gheall ar a fhionnachtain go bhfuil meicníocht ann chun próitéiní a dhíghrádú trí mheán úibicitine. Roinn sé an duais in 2004 le Aaron Ciechanover agus Irwin Rose.,"Avram Hershko

Bitheolaí a rugadh ar 31 Nollaig 1937 i gKarkag na hUngáire is ea Avram Hershko. Leis an ainm Herskó Ferenc a rugadh é. Chuir sé faoi in Iosrael sa bhliain 1950. Bhain sé dochtúireacht amach in Iarúsailéim agus oibríonn sé anois leis an Technion in Haifa. Roinn sé Duais Nobel na Ceimice i 2004 le Aaron Ciechanover is Irwin Rose as a bhfionnachtain go bhfuil meicníocht ann chun próitéiní a dhíghrádú trí mheán úibicitine."
fc16d971-gemini-2.5-pro-Wiki-17,gemini-2.5-pro,Wiki,"Bunaithe ar an téacs, cé hé deartháir Ralf Schumacher agus cén fhoireann lena mbeidh sé ag tiomáint sa bhliain 2006?","Is é Michael Schumacher, tiománaí cáiliúil Foirmle a hAon, deartháir Ralf Schumacher. Sa bhliain 2006, beidh Ralf ag glacadh páirt i gCraobh Dhomhanda Foirmle a hAon leis an bhfoireann Toyota.","Ralf Schumacher

Is tiománaí Foirmle a hAon é Ralf Schumacher. Rugadh sa Ghearmáin é ar an 30 Meitheamh, 1975. Is deartháir é do Michael Schumacher, tiománaí cáiliúil Foirmle a hAon. I 2006, beidh Ralf ag glacadh páirt i gCraobh Dhomhanda Foirmle a hAon leis an bhfoireann Toyota."
f55394ba-gemini-2.5-pro-Wiki-18,gemini-2.5-pro,Wiki,"Cé na clubanna sacair a d'imir Dean Ashton dóibh, de réir an tsleachta a cuireadh ar fáil?","De réir an tsleachta, d'imir Dean Ashton do Crewe Alexandra (ó 2000 go 2005), Norwich City (ar feadh séasúir amháin), agus imríonn sé faoi láthair le West Ham United.","Dean Ashton

Is imreoir sacair Sasanach é Dan Ashton (a rugadh 24 Samhain, 1983 i Swindon, Sasana). Imríonn sé faoi láthair le West Ham United. D'imir sé le Crewe Alexandra ó 2000 go 2005. D'imir sé le Norwich City ar feadh séasúir amháin."
b1ab6c9c-gemini-2.5-pro-Wiki-19,gemini-2.5-pro,Wiki,Cén fáth ar bhuaigh Theodor Svedberg Duais Nobel na Ceimice i 1926?,Bhuaigh Theodor Svedberg Duais Nobel na Ceimice i 1926 as an ultralártheifneoir a fhorbairt agus as a shaothar ar phróitéiní i dtuaslagáin agus i gcórais easraithe eile.,"Theodor Svedberg

Ceimicí fisiceach a rugadh i bhFleräng na Sualainne ab ea Theodor ""The"" Svedberg (30 Lúnasa 1884 – 25 Feabhra 1971). Shaothraigh sé an t-ultralártheifneoir i 1924, lenar féidir tuaslagáin a chasadh chomh tapa sin go bhfeidhmíonn fórsaí na mílte oiread níos mó ná an fórsa domhantarraingthe ar a bhfuil sa tuaslagán. Thaispeáin sé gur féidir tuaslagáin próitéiní a chasadh chun na próitéiní éagsúla a scaradh óna chéile. Bhuaigh sé Duais Nobel na Ceimice i 1926 as an bhforbairt seo agus a shaothar ar phróitéiní i dtuaslagáin is córais easraithe eile."
d8a83102-gemini-2.5-pro-Wiki-20,gemini-2.5-pro,Wiki,"Mínigh cad is comhdhúil lipéadaithe ann, bunaithe ar an téacs a sholáthraítear.","Is comhdhúil í ina bhfuil céatadán níos mó ná is gnách d'iseatóp ar leith dúile. Is féidir gur iseatóp radaighníomhach é seo, nó iseatóp cobhsaí is féidir a bhrath le speictreascópacht.","Comhdhúil lipéadaithe

Comhdhúil ina bhfuil céatadán níos mó ná is gnách d'iseatóp ar leith dúile. Is féidir gur iseatóp radaighníomhach é seo, nó iseatóp cobhsaí is féidir a bhrath le speictreascópacht. Iseatóip a úsáidtear go coiteann is ea deoitéiriam (hidrigin-2) agus carbón-13."
3748f9b2-gemini-2.5-pro-Oireachtas-1,gemini-2.5-pro,Oireachtas,"Bunaithe ar an sliocht a cuireadh ar fáil, cé na codanna den téacs a bhfuil an cainteoir chun díriú orthu?","De réir an tsleachta, cloífidh an cainteoir leis an rud atá le rá ag an téacs a bhaineann leis an nGaeilge agus leis na moltaí a bhaineann leis an nGaeilge. Ní chuireann an cainteoir aon spéis sa téacs Sacs-Bhéarla.","Anois, ní chuirim aon spéis san téacs Sacs-Bhéarla; cloífidh mé leis an rud atá le rá ag an téacs a bhaineann leis an nGaeilge nó leis na moltaí a bhaineann leis an nGaeilge.  I gcuid a hAon den Sceideal san Ghaeilge tá sé seo:"
890998f2-gemini-2.5-pro-Oireachtas-2,gemini-2.5-pro,Oireachtas,"Cén obair phleanála nua a bhfuil tús curtha léi chun cur leis an bPolasaí don Oideachas Gaeltachta, de réir an tsleachta?","De réir an tsleachta, tá tús curtha le hobair phleanála do pholasaí don oideachas trí mheán na Gaeilge lasmuigh den Ghaeltacht chun cur leis an obair atá á déanamh ar chur i bhfeidhm an Pholasaí don Oideachas Gaeltachta.",Tá gealltanais i gClár an Rialtais 2020 – 2025 Ár dTodhchaí Le Chéile maidir leis an Gaeilge sa chóras oideachais. Tá na gealltanais seo déanta i gcomhthéacs na hoibre ar chur i bhfeidhm Straitéis 20-Bliain an Rialtais don Ghaeilge. Chun cur leis an obair atá á dhéanamh ag mo Roinn-se maidir le cur i bhfeidhm an Pholasaí don Oideachas Gaeltachta tá tús curtha le hobair phleanála do pholasaí don oideachas trí mheán na Gaeilge lasmuigh den Ghaeltacht chomh maith.
95083324-gemini-2.5-pro-Oireachtas-3,gemini-2.5-pro,Oireachtas,"Bunaithe ar an téacs, cén fáth ar ghabh an cainteoir leithscéal agus cad é an staid reatha maidir le clárú trí Ghaeilge ar an tairseach ar líne?","Ghabhadh leithscéal le haon duine nár éirigh leo clárú nó ainmniúchán a dhéanamh go hiomlán trí Ghaeilge ar an tairseach ar líne. Tá an próiseas sin ar fáil anois, áfach, agus is féidir le haon duine atá ag iarraidh an t-ainmniúchán a dhéanamh é sin a dhéanamh trí mheán na Gaeilge.","Ghabhamar leithscéal agus gabhaimid leithscéal le haon duine a bhí ag iarraidh clárú trí mheán na Gaeilge ar an tairseach ar líne nach raibh in ann clárú nó ainmniúchán a dhéanamh go huile is go hiomlán trí Ghaeilge go dtí seo. Mar a léirigh mé, tá sé sin agus an próiseas sin ar fáil anois d’aon duine atá ag iarraidh an t-ainmniúchán a dhéanamh trí mheán na Gaeilge."
c4625f86-gemini-2.5-pro-Oireachtas-4,gemini-2.5-pro,Oireachtas,"Bunaithe ar an sliocht, cén dearcadh atá ann i leith an mhagtha a dhéantar ar mhuintir na tuaithe sna cathracha?","De réir an téacs, cé go ndéantar magadh agus fonóid faoi mhuintir na tuaithe (cosúil le muintir Chonamara i nGaillimh), meastar gur 'sean-scéal' é a tharlaíonn go coitianta. Tugtar le fios freisin nach bhfuil ann ach aon- treo, mar tar éis tamaill tuigeann muintir na cathrach go bhfuil muintir na tuaithe ag magadh fúthu féin.","Rinneadh tagairt don mhagadh agus don fhonóid a bhí dhá ndéanamh faoi mhuintir Chonamara i nGaillimh.  Is sean-scéal é sin.  Sin rud a thárlaíonn do chuile dhuine a thagann go Baile Átha Cliath uaireanta.  Tar éis tamaill, tuigeann muintir na cathrach, i nGaillimh nó i mBaile Átha Cliath, go bhfuil muintir na tuaithe ag magadh futhu féin.  Ní thabharfainn an oiread sin aird air."
10276c0b-gemini-2.5-pro-Oireachtas-5,gemini-2.5-pro,Oireachtas,"De réir an téacs, cad a shíleann an cainteoir a bheidh ar fáil don earnáil turasóireachta má bhíonn Rialtas nua ann?","Síleann an cainteoir, má bhíonn Rialtas nua ann, go mbeidh deiseanna agus airgead ar fáil don earnáil turasóireachta, earnáil a mheastar a bheith fíor-thábhachtach.","Freisin, cé nach bhfuil clár Rialtais nua aontaithe, tá caint ann faoi July stimulus nó rud éigin mar sin. Sílim, más rud é go bhfuil Rialtas nua ann, go mbeidh deiseanna ansin agus airgead ar fáil d'earnáil ar nós turasóireacht atá fíor-thábhachtach agus ina noibríonn a lán daoine - daoine óga agus daoine eile - go lán-aimseartha agus go páirt-aimseartha. Tá súil agam go mbeidh teacht amach as an task force sin go luath."
fdc1c3c0-gemini-2.5-pro-Oireachtas-6,gemini-2.5-pro,Oireachtas,"Agus an sliocht curtha ar fáil á úsáid agat, cad é an dearcadh a bhí ag an Aire Stáit maidir leis na leasuithe a bhain leis an Acht um Shaoráil Faisnéise, 1997, agus an tAcht Ombudsman, 1980?","De réir an tsleachta, dúirt an tAire Stáit nach raibh aon rud aige i gcoinne na leasuithe ach go raibh slí níos fearr ann chun iad a chur i gcrích. Gheall sé go smaoineodh sé ar an ábhar.","Tá an leasú seo agus uimhir a 21 ar an ábhar céanna. Go mbainfeadh an tAcht um Shaoráil Faisnéise, 1997, agus an tAcht Ombudsman, 1980, le gnó an údaráis. Dúirt an tAire Stáit ag an gCéim dheiridh nach raibh aon rud aige i gcoinne na leasuithe seo ach go raibh slí níos fearr ann chun é a chur i gcrích. Dúirt sé go smaoineodh sé ar an ábhar idir an dá linn agus ba mhaith liom a chlos uaidh cad é a thuairim anois."
d54075f4-gemini-2.5-pro-Oireachtas-7,gemini-2.5-pro,Oireachtas,"Bunaithe ar an téacs, cad iad na cúiseanna a thugtar a d’fhág go raibh sé deacair do Ghaeilgeoirí a bheith páirteach i bpróiseas an dréachtphlean forbartha cathrach?","Bhí sé deacair do Ghaeilgeoirí a bheith páirteach sa phróiseas mar ní raibh na saincheisteanna ar fáil as Gaeilge, agus ní raibh an méid a bhí an príomhfheidhmeannach tar éis a rá faoin tuarascáil a rinne sé ar an gcéad dhréacht den phlean ar fáil as Gaeilge ach oiread.","Chomh maith leis sin, toisc go bhfuilimid ag caint faoin bpróiseas maidir le dréachtphlean forbartha na cathrach, ní raibh sé go hiomlán éasca dóibh siúd a bhí ag iarraidh achainíocha a dhéanamh ar an bpróiseas sin mar ní raibh na saincheisteanna ar fáil as Gaeilge ná an méid a bhí an príomhfheidhmeannach tar éis a rá maidir leis an tuarascáil a rinne sé ar an gcéad dhréacht den phlean. Ní raibh sé sin ar fáil as Gaeilge ach oiread. Rinne sé sin deacair do Ghaeilgeoirí a bheith mar chuid den phróiseas. Tá jab mór le déanamh ag na finnéithe."
6f637abc-gemini-2.5-pro-Oireachtas-8,gemini-2.5-pro,Oireachtas,"Bunaithe ar an sliocht, cad iad na hiarmhairtí a bheidh ann mura ngníomhaítear go práinneach maidir leis an mBille don Cheathrú Rua?","De réir an téacs, mura ngníomhaítear go práinneach, beidh na comhlachtaí a fuair muintir an Cheathrú Rua don suíomh i mbaol agus caillfear an fhostaíocht a bhí le cruthú acu.","Is í an phráinn atá ag baint leis an mBille ná go bhfuil tionóntaí agus gnóthaí beaga faighte ag muintir an Cheathrú Rua don suíomh seo.  Bhí sé intuigthe go mbeadh an chumhacht acu léasanna a chur ar fáil dóibh siúd ata i gceist.  Go tobann, fuaireadar litir ón údarás ag rá go raibh iniúchadh á dhéanamh ó thaobh an dlí de.  Ní rabhadar ag súil leis an litir sin.  Beidh na comhlachtaí i mbaol agus beidh an fhostaíocht caillte.  Ní féidir linn fanacht go dtí go mbeidh an díospóireacht leathan faoin straitéis críochnaithe.  D'fhreastal mé ar na cruinnithe sa Ghaeltacht nuair a bhí mé ag cabhrú le gné eile den ábhar seo."
25936eb6-gemini-2.5-pro-Oireachtas-9,gemini-2.5-pro,Oireachtas,Cé air a chuireann an t-údar an locht maidir le heaspa cláracha raidió oiriúnacha do pháistí scoile?,"Dar leis an údar, is ar lucht Raidió Éireann atá an locht, toisc nach gcuireann siad cláracha oiriúnacha ar siúl do na páistí.","Rud eile, ní shílim go bhfuil cláracha fóirstineacha ann chomh fada is a bhaineas le páistí scoile ar chor ar bith.  Sílim féin gur cheart cláracha fá choinne scoláirí, páistí fé bhun 12 bhliain d'aois a shimpliú agus a leathnú. Sílim gur mór an trua nach bhfuil caoi ag na páistí níos mó úsáid a bhaint as an Radio.  Ní orthu atá an locht. Is ar lucht Radio Éireann atá an locht ná cuireann siad cláracha oiriúnacha ar siúl do na páistí."
d2e84a2d-gemini-2.5-pro-Oireachtas-10,gemini-2.5-pro,Oireachtas,"Bunaithe ar an sliocht a tugadh, cad iad an dá cheist ar cheart, dar leis an gcainteoir, a chur ar na Ranna éagsúla agus ar na heagraíochtaí Stáit maidir lena scéimeanna teanga?","Dar leis an gcainteoir, is iad an dá cheist ar cheart a chur ar na Ranna éagsúla agus ar na heagraíochtaí Stáit ná: 'cá bhfuil bhur scéim teanga?' agus 'cén uair a bhfuil sibh chun é a chur ar fáil?'.","Sa bhliain 2007, fuair siad litir ag rá leo gur cheart dóibh scéim a ullmhú.  Fuair siad ordú ón Aire a bhí ann ag an am, atá suite linn inniu.  Shílfinn go mbeadh sé seo mar cheann de na bunrudaí a bheadh le déanamh ó thaobh na Ranna éagsúla agus na heagraíochtaí Stáit.  Ba cheart go n-iarrfaí orthu ""cá bhfuil bhur scéim teanga?"" agus ""cén uair a bhfuil sibh chun é a chur ar fáil?"".  Baineann sé seo leis na seirbhísí atá pobal na Gaeilge ag lorg sna ceantair éagsúla."
6b024319-gemini-2.5-pro-Oireachtas-11,gemini-2.5-pro,Oireachtas,"Agus tagairt á déanamh agat don téacs a chuirtear ar fáil, déan cur síos ar na príomhchéimeanna atá beartaithe do chur i bhfeidhm an togra agus an t-amchlár a mheastar do gach céim.","De réir an téacs, is iad seo a leanas na céimeanna atá beartaithe: 1. Tá an réamhphleanáil ar siúl faoi láthair. 2. Beidh iarratas ar chead pleanála réidh go luath. 3. Tosófar ar an obair athchóirithe laistigh de thrí mhí tar éis an cead pleanála a fháil. 4. Cuirfear tús le hearcaíocht foirne roimh dheireadh na bliana. Is é an sprioc do Chéim 1 den tionscnamh ná 145 duine a fhostú.",Tuigim ó Údarás na Gaeltachta go bhfuil an réamhphleanáil do chur i bhfeidhm an togra seo ar siúl faoi láthair; go bhfuiltear ag súil go mbeidh iarratas ar chead pleanála reidh go luath d'athchóiriú na monarchan don ghnó agus go dtosófar ar an obair athchóirithe sin laistigh de thrí mhí ach an cead pleanála a bheith ar fáil; agus go meastar go gcuirfear tús le hearcaíocht foirne don ghnó roimh dheireadh na bliana.  Is é an sprioc do Chéim 1 den tionscnamh ná 145 dhuine.
cf96bf26-gemini-2.5-pro-Oireachtas-12,gemini-2.5-pro,Oireachtas,"De réir an téacs, cad é an toradh a bhíonn ar dhaoine ag obair le chéile agus ag comhroinnt a gcuid saineolais ghairmiúil?","Is é an toradh ná gur féidir tacaíocht níos éifeachtúla a thabhairt do líon níos airde daltaí i dtimpeallachtaí scoile, áit a mbíonn gá ollmhór ann go minic.","Beidh siad in ann a bheith ag obair le chéile chun a gcuid eolais ghairmiúil agus saineolas a phleanáil, a chomhroinnt agus a chomhoibriú ionas gur féidir tacaíocht níos éifeachtúla a thabhairt do líon níos airde daltaí i dtimpeallachtaí scoile, mar ar minic a bhíonn gá ollmhór ann."
